applicationNumber,filingDate,publicationDate,ipc
171/KOL/2010 A,2010-02-23,2015-07-24,C10M 105/14
672/KOL/2009 A,2009-04-27,2015-07-24,C21C 5/28
1124/KOL/2013 A,2013-09-30,2015-04-03,B32B 15/00
22/KOL/2014 A,2014-01-06,2015-07-10,B01D 53/00
185/KOL/2010 A,2010-02-25,2015-07-24,"G05B 15/02, G05F 1/66"
527/KOL/2010 A,2010-05-13,2016-09-02,C21D 8/02
8087/CHENP/2014 A,2014-11-05,2016-07-01,"B32B 15/08, B32B 15/18, B32B 15/04"
9144/CHENP/2012 A,2012-10-26,2016-04-29,H01L 35/30
12/KOL/2012 A,2012-01-04,2016-08-26,G01B 21/02
1280/KOL/2010 A,2010-11-12,2016-09-02,F28F 1/20
1581/CHE/2015 A,2015-03-27,2016-09-30,B60P
365/KOL/2014 A,2014-03-21,2016-08-26,C22B 1/00
937/KOL/2012 A,2012-08-16,2016-08-26,C21B 13/00
524/KOL/2012 A,2012-05-10,2016-08-26,C02F 1/00
3105/CHE/2012 A,2012-07-30,2016-04-15,G01J
711/KOL/2014 A,2014-06-30,2016-01-01,A47G 7/00
281/KOL/2011 A,2011-03-04,2016-09-02,B01D 17/00
668/KOL/2009 A,2009-04-27,2016-09-02,"C09D 133/04, C09D 175/04, C09D 7/12"
298/KOL/2012 A,2012-03-16,2016-08-26,B22D 11/06
780/KOL/2010 A,2010-07-19,2016-09-02,B41N 3/00
201647043124 A,2016-12-17,2016-12-30,"C25D 7/06, C25D 9/10, C25D 9/08"
1014/CHENP/2014 A,2014-02-07,2016-07-01,C21D 9/60
70/KOL/2015 A,2015-01-20,2016-08-26,C21B 5/00
356/KOL/2014 A,2014-03-20,2016-08-26,C04B 7/00
1293/KOL/2006 A,2006-11-28,2016-07-15,B25J 9/16
601/KOL/2014 A,2014-12-02,2016-08-26,C21B 7/00
201647020540 A,2016-06-16,2016-08-31,"C01B 31/04, B82Y 30/00, B82Y 40/00"
1157/KOL/2014 A,2014-11-11,2016-08-26,B01D 19/00
1189/KOL/2011 A,2011-09-12,2016-08-26,B21B 1/46
1148/KOL/2014 A,2014-11-10,2016-08-26,C23C 2/00
1373/KOL/2014 A,2014-12-31,2016-08-26,C23F 11/14
201631004862 A,2016-02-11,2017-11-10,E04C 5/16
201631010540 A,2016-03-28,2017-11-10,C21B 5/00
201631000980 A,2016-01-11,2017-11-10,C21D 1/26
360/KOL/2015 A,2015-03-31,2017-12-08,C02F 1/00
201631009835 A,2016-03-21,2017-11-10,B03D
201631011399 A,2016-03-31,2017-11-10,B66C 1/54
201631008010 A,2016-03-08,2017-11-10,A61B 8/00
346/KOL/2015 A,2015-03-27,2017-10-20,C10B 57/04
201631008556 A,2016-03-11,2017-11-10,C22C 33/04
201631001383 A,2016-01-14,2017-11-10,C09D 1/00
336/KOL/2015 A,2015-03-26,2017-10-13,C22B 1/02
201631005504 A,2016-02-17,2017-11-10,C21D 8/06
201631008531 A,2016-03-11,2017-11-10,C08L 95/00
201747036061 A,2017-10-11,2017-10-20,"C23C 2/06, C23C 2/12, C22C 38/02"
201631008442 A,2016-03-10,2017-11-10,C21D 6/00
344/KOL/2015 A,2015-03-27,2017-12-08,C04B 18/14
201631007295 A,2016-03-02,2017-11-10,C07F 5/00
320/KOL/2015 A,2015-03-25,2017-10-13,C10G 75/00
1266/KOL/2015 A,2015-12-10,2017-11-17,B21B 43/00
1341/KOL/2015 A,2015-12-28,2017-12-01,C21D 9/46
924/KOL/2015 A,2015-08-28,2017-10-13,G01F 1/66
776/KOL/2015 A,2015-07-17,2017-12-08,B21B 3/00
1290/KOL/2015 A,2015-12-15,2017-11-17,C21D 6/00
201631007331 A,2016-03-02,2017-11-10,C23C 2/00
201631006174 A,2016-02-23,2017-11-10,C21D 8/02
201731009148 A,2017-03-16,2018-09-21,"B22F 9/00, C21B 15/00, C22B 1/08"
201731011126 A,2017-03-29,2018-10-05,C23C 22/53
201631034406 A,2016-10-07,2018-04-13,"B03D 1/00, B03D 3/00, B03B 9/00"
201731007012 A,2017-02-28,2018-08-31,"B23K 9/00, B29C 65/00, G01N 33/00"
201731008461 A,2017-03-10,2018-09-14,C21D 8/00
201731008485 A,2017-03-10,2018-09-14,"C23C 14/00, G01N 21/71, G01N 21/73"
201631042787 A,2016-12-15,2018-06-22,"H03K 17/00, G05B 11/00, G05B 19/00"
201631041606 A,2016-12-06,2018-06-08,"B22D 11/00, C21D 8/00"
201631038942 A,2016-11-15,2018-05-18,"B22D 11/00, G01N 29/00"
201731007011 A,2017-02-28,2018-08-31,"C21B 13/00, B03D 1/00, C22B 1/00, ???:[(3], ???:[)]"
201731010617 A,2017-03-25,2018-09-28,C22B 1/00
201631044988 A,2016-12-30,2018-07-06,"C02F 1/00, B01F 5/00"
201631042610 A,2016-12-14,2018-06-15,"C23C 2/00, C22C 38/00, C22C 18/00"
201731001785 A,2017-01-17,2018-07-20,"F16M 13/00, B62D 63/00"
201631035862 A,2016-10-20,2018-04-27,"C23C 2/00, C22B 1/00"
201731002858 A,2017-01-25,2018-07-27,"B01D 21/00, C02F 9/00, C02F 1/00"
201847026464 A,2018-07-16,2018-07-20,F27D 1/14
201731003570 A,2017-01-31,2018-08-03,"C10L 5/00, B30B 11/00, C21B 13/00"
201731007114 A,2017-02-28,2018-08-31,"C21D 1/00, C22C 38/00, C22C 37/00"
201731009361 A,2017-03-17,2018-09-21,C11B 3/00
201731008862 A,2017-03-15,2018-09-21,"C22B 1/08, C22B 34/32"
201831007390 A,2018-02-27,2019-08-30,C22B 1/00
201831007519 A,2018-02-28,2019-08-30,B82Y 40/00
201631000331 A,2016-01-05,2019-03-29,F02B 63/04
201827044360 A,2018-11-26,2019-12-20,F27D 01120
201831022964 A,2018-06-20,2019-12-27,B24B 37013
201831011265 A,2018-03-27,2019-10-04,F02P 17/00
201831004628 A,2018-02-07,2019-08-09,"C21B 5/06, C21B 7/00"
201831009097 A,2018-03-13,2019-09-20,B29C 47/00
201831010547 A,2018-03-22,2019-09-27,"C21D 8/02, C22C 38/02, C22C 38/04"
201831001101 A,2018-01-10,2019-07-12,"C10B 41/02, C10B 53/04, C10B 57/04"
201831011215 A,2018-03-27,2019-10-04,"B03D 1/016, C10L 1/22"
201831010044 A,2018-03-19,2019-09-20,C10B 15/00
201947019164 A,2019-05-14,2019-05-24,"C22C 38/00, B21B 1/00, B21B 1/22"
201831004462 A,2018-02-06,2019-08-09,"C10B 57/04, C10L 9/06"
